                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4077,                  1.151,                 1.4853,                0.57226,                0.61782,                0.63683,                0.32703,                 1.6813,                 1.2287,                 1.6858,             0.00057778,             0.00057778,             0.00057778
                     35,                  1.382,                 1.1438,                 1.4588,                0.67526,                 0.5837,                0.64127,                0.33689,                 1.6868,                  1.247,                 1.6836,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.3805,                 1.1308,                 1.4624,                0.63603,                0.61055,                0.65535,                0.34302,                 1.6542,                 1.2145,                  1.673,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.3634,                 1.1157,                 1.4496,                0.63068,                0.64371,                0.65083,                0.33112,                 1.6819,                 1.2406,                 1.6849,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.3472,                 1.1177,                  1.459,                0.59658,                0.62385,                0.63867,                0.32575,                 1.6651,                   1.22,                 1.6672,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.3677,                 1.0969,                 1.4539,                0.67824,                0.60312,                0.67421,                0.33238,                 1.6557,                 1.1989,                 1.6644,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.3446,                  1.074,                  1.441,                0.69818,                0.63323,                0.68638,                0.34163,                 1.6583,                 1.1709,                 1.6697,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.3366,                  1.079,                 1.4358,                0.71246,                 0.6245,                0.68492,                0.34714,                 1.6666,                 1.1961,                 1.6753,             0.00034674,             0.00034674,             0.00034674
                     42,                   1.33,                 1.0655,                 1.4385,                 0.6679,                0.65229,                0.68223,                0.35007,                 1.6797,                 1.1768,                 1.6857,             0.00031373,             0.00031373,             0.00031373
                     43,                  1.306,                   1.04,                 1.4129,                0.64697,                0.65628,                 0.6884,                0.35019,                 1.6686,                 1.1974,                 1.6698,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.2839,                  1.036,                 1.3948,                0.63104,                0.68276,                 0.6816,                0.35175,                 1.6532,                 1.1527,                 1.6486,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.2868,                 1.0147,                  1.397,                0.63121,                0.70364,                0.70121,                0.36005,                 1.6481,                 1.1361,                 1.6531,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.2933,                 1.0114,                 1.3967,                0.64876,                0.66333,                0.68608,                0.35408,                 1.6521,                 1.1233,                 1.6471,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.2867,                0.98369,                 1.3925,                0.62498,                0.67707,                0.68777,                0.36067,                 1.6492,                 1.1127,                 1.6517,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.2507,                0.97644,                 1.3872,                0.61948,                 0.6993,                 0.6916,                0.35971,                 1.6514,                 1.1389,                 1.6582,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.2411,                0.96962,                 1.3681,                0.70758,                0.59552,                0.67787,                0.35746,                 1.6498,                 1.1361,                 1.6646,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.2279,                0.94535,                 1.3648,                0.71421,                0.62283,                0.69677,                0.35708,                 1.6456,                 1.1279,                 1.6683,             4.9677e-05,             4.9677e-05,             4.9677e-05
