                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0657,                 3.1194,                 1.5077,                0.34914,                0.38095,                0.23689,                0.08949,                 2.2765,                 6.8211,                 1.2717,                0.00026,                0.00026,                0.00026
                      2,                  1.968,                 2.0938,                 1.4188,                0.31738,                0.44762,                0.27576,                0.09509,                 2.4868,                 2.8417,                 1.2734,             0.00053465,             0.00053465,             0.00053465
                      3,                 1.9397,                 1.9964,                 1.3101,                0.47175,                0.39048,                0.36386,                  0.128,                 2.3166,                 2.0693,                 1.2534,             0.00080376,             0.00080376,             0.00080376
                      4,                 1.8915,                 2.1513,                  1.313,                0.43401,                0.51429,                 0.3985,                0.14162,                 2.2865,                 1.7485,                 1.2255,              0.0010673,              0.0010673,              0.0010673
                      5,                  1.857,                 1.8189,                 1.2688,                0.16576,                0.21905,                0.14689,                0.05612,                 2.3192,                 2.1936,                 1.3314,              0.0013254,              0.0013254,              0.0013254
                      6,                 1.9207,                 2.4068,                  1.383,                0.32389,                0.19048,                0.19285,                0.07585,                 2.3451,                 3.7722,                 1.3606,              0.0015778,              0.0015778,              0.0015778
                      7,                 1.7263,                  2.457,                 1.3165,                0.36665,                 0.2381,                0.22928,                0.09392,                 2.3266,                 3.4311,                 1.3141,              0.0018248,              0.0018248,              0.0018248
                      8,                 1.8997,                 2.4904,                 1.3635,                0.36665,                 0.2381,                0.22928,                0.09392,                 2.3266,                 3.4311,                 1.3141,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8629,                 2.0486,                 1.3721,                0.04302,                0.30476,                0.02724,                0.01165,                  2.448,                 5.9254,                 1.3032,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.828,                 2.0754,                 1.3691,                0.39381,                0.38362,                0.22886,                0.09788,                 2.1504,                 1.7835,                 1.2359,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.9202,                  1.784,                  1.427,                0.39381,                0.38362,                0.22886,                0.09788,                 2.1504,                 1.7835,                 1.2359,               0.001802,               0.001802,               0.001802
                     12,                 2.0023,                 1.7127,                 1.4824,                0.30955,                0.40952,                0.24484,                0.10848,                 2.0714,                 1.6915,                 1.2241,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.9393,                 1.6792,                 1.4824,                0.54313,                0.37143,                0.37708,                0.16237,                 2.0232,                 1.5848,                  1.201,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.8254,                 1.7066,                 1.3122,                0.54313,                0.37143,                0.37708,                0.16237,                 2.0232,                 1.5848,                  1.201,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.8513,                  1.567,                  1.391,                0.44942,                0.47619,                0.37128,                0.14996,                 2.1701,                 1.5585,                 1.2681,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.8427,                 1.7028,                 1.3852,                0.46897,                0.46667,                0.35434,                0.14047,                 2.2461,                 1.5986,                 1.2803,               0.001703,               0.001703,               0.001703
                     17,                 1.6988,                 1.3463,                 1.2953,                0.46897,                0.46667,                0.35434,                0.14047,                 2.2461,                 1.5986,                 1.2803,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.8448,                 1.3898,                 1.3837,                0.52641,                0.37143,                0.40209,                 0.1867,                 1.9627,                  1.497,                 1.1941,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.7758,                 1.3982,                 1.3181,                0.42727,                0.54286,                0.47522,                0.22233,                  1.929,                 1.2479,                 1.1647,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.8209,                 1.2793,                 1.3477,                0.42727,                0.54286,                0.47522,                0.22233,                  1.929,                 1.2479,                 1.1647,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.8639,                  1.243,                 1.3599,                0.55388,                0.50848,                0.50587,                0.19729,                 2.1843,                 1.3077,                 1.2921,               0.001604,               0.001604,               0.001604
                     22,                 1.8198,                 1.3545,                 1.3581,                0.57518,                0.49524,                0.50854,                0.19889,                 2.2221,                 1.2255,                 1.3248,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8175,                 1.4057,                 1.3653,                0.57518,                0.49524,                0.50854,                0.19889,                 2.2221,                 1.2255,                 1.3248,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.7784,                 1.3288,                 1.3618,                0.57478,                0.51495,                0.47891,                0.21275,                 2.0797,                 1.2761,                 1.2297,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.7135,                 1.2763,                 1.3747,                0.52953,                0.40952,                 0.3906,                 0.1628,                 2.1785,                 1.6524,                 1.2527,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.7449,                 1.1618,                 1.3368,                0.52953,                0.40952,                 0.3906,                 0.1628,                 2.1785,                 1.6524,                 1.2527,               0.001505,               0.001505,               0.001505
                     27,                 1.6874,                 1.1941,                 1.2842,                0.59429,                0.32381,                0.38444,                   0.17,                 2.0898,                 1.5595,                 1.2382,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.7276,                  1.247,                 1.3076,                 0.6217,                 0.4381,                0.50788,                0.21459,                 1.9692,                  1.218,                 1.2015,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.8043,                  1.198,                 1.2763,                 0.6217,                 0.4381,                0.50788,                0.21459,                 1.9692,                  1.218,                 1.2015,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.6839,                  1.149,                 1.2383,                0.55029,                 0.5619,                0.51891,                0.22574,                 1.9774,                 1.1579,                 1.2051,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.7028,                 1.2025,                 1.3298,                0.55579,                0.65714,                0.55476,                0.23391,                 2.0439,                 1.1391,                 1.2249,               0.001406,               0.001406,               0.001406
                     32,                 1.6367,                 1.1248,                 1.2424,                0.55579,                0.65714,                0.55476,                0.23391,                 2.0439,                 1.1391,                 1.2249,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.6669,                 1.0538,                 1.2504,                0.58994,                0.60952,                0.54747,                0.23872,                 2.0519,                  1.135,                 1.2312,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.6662,                 1.0984,                 1.3286,                0.56195,                 0.6381,                0.56538,                0.25113,                 1.9957,                 1.1065,                 1.1933,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.6974,                 1.0658,                 1.2836,                0.56195,                 0.6381,                0.56538,                0.25113,                 1.9957,                 1.1065,                 1.1933,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.7508,                 1.0659,                 1.3004,                0.60981,                0.54286,                0.53595,                0.22674,                  2.017,                 1.1806,                  1.202,               0.001307,               0.001307,               0.001307
                     37,                 1.6639,                 1.0837,                 1.2497,                0.48644,                0.53333,                0.49912,                0.23196,                 2.0077,                 1.1804,                 1.2052,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6429,                 1.0562,                 1.2746,                0.48644,                0.53333,                0.49912,                0.23196,                 2.0077,                 1.1804,                 1.2052,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7374,                 1.1077,                 1.3223,                0.61905,                0.46431,                0.51164,                0.25071,                 1.9673,                 1.1596,                 1.1937,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.671,                 0.9955,                 1.2725,                0.60444,                0.46667,                0.48279,                0.23815,                 2.0014,                 1.1787,                 1.2326,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.6165,                0.97706,                 1.2278,                0.60444,                0.46667,                0.48279,                0.23815,                 2.0014,                 1.1787,                 1.2326,               0.001208,               0.001208,               0.001208
                     42,                 1.6908,                 1.0615,                 1.3207,                0.56179,                0.46667,                0.46825,                0.22272,                 2.0529,                 1.2005,                 1.2452,              0.0011882,              0.0011882,              0.0011882
