                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.5674,                0.92269,                 1.2487,                0.60347,                0.46384,                0.48529,                0.23469,                 2.0048,                 1.1618,                 1.1992,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.6086,                0.95938,                 1.2293,                0.60347,                0.46384,                0.48529,                0.23469,                 2.0048,                 1.1618,                 1.1992,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.6732,                 0.9502,                 1.2376,                0.61323,                0.52381,                0.53821,                0.26635,                 1.9795,                  1.081,                 1.1985,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5899,                0.97113,                 1.1998,                0.64628,                0.53333,                0.57319,                0.27769,                 1.9592,                 1.0514,                 1.1867,               0.001109,               0.001109,               0.001109
                     47,                 1.5832,                 1.0576,                 1.2438,                0.64628,                0.53333,                0.57319,                0.27769,                 1.9592,                 1.0514,                 1.1867,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.6233,                0.95747,                 1.1735,                0.55061,                0.60952,                0.55083,                0.25946,                 2.0047,                 1.0836,                 1.2002,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.6526,                 1.0272,                 1.2378,                0.56777,                0.61905,                0.55668,                0.25771,                 2.0138,                 1.1739,                  1.203,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5933,                  1.011,                 1.2267,                0.56777,                0.61905,                0.55668,                0.25771,                 2.0138,                 1.1739,                  1.203,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5483,                0.94742,                 1.2218,                0.61637,                0.50497,                0.54847,                0.25242,                 2.0196,                 1.1582,                  1.216,                0.00101,                0.00101,                0.00101
                     52,                 1.5974,                0.92816,                 1.2425,                0.52245,                0.55238,                0.51627,                0.22892,                 2.0846,                 1.2092,                 1.2496,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5624,                0.92294,                 1.2128,                0.52245,                0.55238,                0.51627,                0.22892,                 2.0846,                 1.2092,                 1.2496,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6293,                0.94652,                 1.2393,                0.50412,                0.57143,                0.50661,                0.22898,                 2.0844,                 1.2369,                 1.2538,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6561,                0.97792,                 1.2714,                0.47922,                0.47619,                 0.4778,                0.22715,                 2.0729,                 1.2653,                 1.2484,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5697,                0.95336,                 1.2055,                0.47922,                0.47619,                 0.4778,                0.22715,                 2.0729,                 1.2653,                 1.2484,               0.000911,               0.000911,               0.000911
                     57,                 1.5272,                0.92555,                 1.2299,                0.52105,                0.49524,                0.50301,                0.23539,                 2.0143,                 1.2559,                 1.2212,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5509,                0.91071,                 1.1983,                0.50787,                0.49144,                0.52765,                0.23905,                 2.0231,                 1.1841,                 1.2193,              0.0008714,              0.0008714,              0.0008714
                     59,                  1.671,                0.92389,                 1.2547,                0.50787,                0.49144,                0.52765,                0.23905,                 2.0231,                 1.1841,                 1.2193,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4701,                0.87294,                 1.2243,                0.52732,                0.59048,                0.56177,                0.24548,                 2.0943,                 1.1493,                 1.2331,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.5117,                 0.7965,                 1.1421,                0.53877,                    0.6,                0.53418,                0.23249,                 2.1145,                 1.1655,                 1.2413,               0.000812,               0.000812,               0.000812
                     62,                 1.5245,                0.83158,                  1.215,                0.53877,                    0.6,                0.53418,                0.23249,                 2.1145,                 1.1655,                 1.2413,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.5238,                0.81784,                 1.1759,                 0.5579,                0.57691,                0.55636,                0.24891,                 2.0362,                 1.1259,                 1.2027,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4817,                0.81136,                 1.1683,                0.57142,                0.58412,                0.58728,                0.25819,                 1.9959,                 1.1002,                 1.1802,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.5748,                0.84278,                 1.2567,                0.57142,                0.58412,                0.58728,                0.25819,                 1.9959,                 1.1002,                 1.1802,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5267,                0.86537,                 1.2213,                0.59625,                0.57667,                0.60176,                0.27708,                 1.9898,                 1.0944,                 1.1701,               0.000713,               0.000713,               0.000713
                     67,                 1.5506,                0.83606,                 1.1787,                0.55843,                0.57815,                0.58686,                0.27128,                 2.0087,                 1.1553,                  1.186,              0.0006932,              0.0006932,              0.0006932
                     68,                  1.566,                0.85167,                 1.2419,                0.55843,                0.57815,                0.58686,                0.27128,                 2.0087,                 1.1553,                  1.186,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.5156,                0.80459,                  1.207,                 0.6025,                0.54857,                0.58436,                0.27186,                 2.0187,                 1.1524,                 1.2028,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.5116,                0.84209,                 1.2086,                0.63173,                0.50646,                0.55691,                0.26898,                 2.0033,                 1.1351,                 1.1983,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4543,                0.78375,                  1.147,                0.63173,                0.50646,                0.55691,                0.26898,                 2.0033,                 1.1351,                 1.1983,               0.000614,               0.000614,               0.000614
                     72,                 1.4213,                0.81165,                 1.1789,                0.63918,                0.51429,                0.55831,                0.26456,                 1.9796,                 1.1746,                 1.1839,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4314,                 0.7446,                 1.1297,                0.56878,                0.57143,                0.53516,                0.25794,                 1.9762,                 1.1921,                 1.1812,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4864,                0.85347,                 1.2134,                0.56878,                0.57143,                0.53516,                0.25794,                 1.9762,                 1.1921,                 1.1812,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.5234,                0.83156,                 1.2136,                0.55285,                0.50476,                0.52116,                0.23967,                 2.0085,                  1.281,                 1.1983,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4737,                0.83176,                 1.1715,                0.56346,                  0.504,                0.51074,                0.23431,                 2.0421,                 1.3413,                 1.2099,               0.000515,               0.000515,               0.000515
                     77,                 1.4218,                0.77435,                 1.1295,                0.56346,                  0.504,                0.51074,                0.23431,                 2.0421,                 1.3413,                 1.2099,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.4675,                0.78633,                 1.1293,                0.54649,                0.53333,                0.50776,                0.23476,                 2.0027,                 1.2696,                 1.1987,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4566,                0.76666,                 1.1247,                0.58316,                0.55962,                0.55861,                0.24883,                 1.9694,                 1.1565,                 1.1919,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.4763,                0.77346,                 1.1775,                0.58316,                0.55962,                0.55861,                0.24883,                 1.9694,                 1.1565,                 1.1919,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3779,                0.74737,                 1.1209,                0.57848,                0.59048,                0.55756,                 0.2511,                 1.9574,                 1.1252,                 1.1921,               0.000416,               0.000416,               0.000416
                     82,                 1.4765,                0.79809,                 1.1969,                0.58479,                0.57143,                0.55135,                0.24781,                 1.9766,                 1.1305,                 1.2083,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.4289,                0.78072,                 1.1231,                0.58479,                0.57143,                0.55135,                0.24781,                 1.9766,                 1.1305,                 1.2083,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.4253,                0.77579,                  1.188,                0.60022,                0.59048,                0.54126,                0.23679,                 1.9821,                 1.1539,                 1.2233,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3717,                0.74678,                 1.1435,                0.61071,                0.58095,                 0.5447,                0.22587,                 1.9857,                 1.2047,                 1.2192,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.4156,                0.73458,                 1.1053,                0.61071,                0.58095,                 0.5447,                0.22587,                 1.9857,                 1.2047,                 1.2192,               0.000317,               0.000317,               0.000317
                     87,                 1.3489,                0.74491,                 1.1219,                0.56932,                0.54286,                0.50407,                0.21525,                 1.9709,                 1.2836,                  1.206,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3956,                0.74652,                 1.1638,                0.52918,                0.54286,                0.48205,                0.20712,                 1.9693,                  1.348,                  1.196,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.4135,                 0.7678,                 1.2164,                0.52918,                0.54286,                0.48205,                0.20712,                 1.9693,                  1.348,                  1.196,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.4277,                0.75838,                 1.1913,                0.51312,                0.52381,                0.45917,                0.19486,                 1.9852,                  1.403,                 1.2031,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3537,                0.71679,                 1.1281,                0.52901,                0.46667,                0.45492,                0.20166,                 1.9917,                 1.4371,                 1.2084,               0.000218,               0.000218,               0.000218
                     92,                 1.4076,                0.71896,                 1.1424,                0.52901,                0.46667,                0.45492,                0.20166,                 1.9917,                 1.4371,                 1.2084,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.4394,                0.74335,                 1.1468,                0.50697,                0.45714,                0.44352,                 0.1967,                 1.9938,                 1.4506,                  1.223,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.349,                0.71654,                 1.1479,                0.53368,                0.44688,                0.45994,                0.20701,                 1.9954,                  1.472,                 1.2281,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.4414,                0.75848,                 1.1417,                0.53368,                0.44688,                0.45994,                0.20701,                 1.9954,                  1.472,                 1.2281,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.3291,                0.76318,                 1.1358,                0.51698,                0.47619,                0.45356,                0.20814,                 2.0042,                 1.4232,                 1.2337,               0.000119,               0.000119,               0.000119
                     97,                 1.3738,                 0.6851,                 1.1209,                0.54632,                0.49524,                0.48578,                0.21056,                 2.0115,                 1.3809,                 1.2316,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3669,                0.72417,                 1.1026,                0.54632,                0.49524,                0.48578,                0.21056,                 2.0115,                 1.3809,                 1.2316,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.3323,                0.72965,                 1.1106,                0.54129,                0.48571,                0.48313,                 0.2106,                 2.0154,                 1.3593,                 1.2318,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.3897,                0.74604,                 1.2046,                0.55847,                0.50476,                0.49501,                0.21413,                 2.0078,                 1.3474,                  1.226,               3.98e-05,               3.98e-05,               3.98e-05
